baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000419	3699.17587665749	1.8361914165984	0.396645923961836	4.62929606904286	3.66910861622092e-06	1.1400902725067e-05
ENSG00000000971	601.531064207958	11.6989607280337	1.66702334695447	7.01787455431073	2.25268652261633e-12	1.4095357537586e-11
ENSG00000001036	1597.32531925015	2.73051051001836	0.410201358903447	6.6565125901035	2.80401124355074e-11	1.57847139603616e-10
ENSG00000001497	6018.76679787506	1.42809908183002	0.216355628166514	6.60070225088349	4.09214693982313e-11	2.26732865878389e-10
ENSG00000001626	7.97156892264673	23.2468930702226	5.60745160713738	4.14571443481261	3.38755802976262e-05	9.17400256681063e-05
ENSG00000002549	5735.82695477036	2.57140831008768	0.297349797858026	8.64775536627549	5.25222731374777e-18	5.65325779952661e-17
ENSG00000002586	30738.2392044664	6.2893883837401	0.404433321914875	15.5511132316241	1.56364081118974e-54	2.42263908434609e-52
ENSG00000003056	8617.98125971372	1.22541546396293	0.320495332674827	3.82350486584537	0.000131567994068442	0.00032493715762326
ENSG00000003096	311.202832927963	9.04389479582927	0.927026451284754	9.75581094077247	1.74202778880952e-22	2.76238171806716e-21
ENSG00000003147	968.868780212807	6.85834666435378	0.624400803246734	10.9838850762075	4.56844439807041e-28	1.14130013305641e-26
ENSG00000003393	2598.92472092533	1.83634685998132	0.374378585677334	4.90505314736141	9.34020454974691e-07	3.13344009606925e-06
ENSG00000003400	3287.19091240044	1.95178529482912	0.572689445872141	3.40810418089122	0.000654159141361235	0.00144998550719367
ENSG00000003436	6003.06855504954	14.1832512717178	0.905759337835881	15.6589622422283	2.88567431889633e-55	4.73138523276905e-53
ENSG00000003509	2497.86276320462	1.13074744494144	0.298889405785134	3.78316334756378	0.000154847718189103	0.000378446926885323
ENSG00000004399	3556.28696516608	3.38314848316682	0.593145834123393	5.70373808351324	1.17208132615456e-08	5.02388564367976e-08
ENSG00000004455	7902.05971858513	1.13594806838578	0.369163325774487	3.07708807748606	0.00209033526074181	0.00425987472950497
ENSG00000004779	2303.1328876564	2.64758196558934	0.370249689415751	7.15080131401918	8.62727865479291e-13	5.62973268632699e-12
ENSG00000004809	269.140057405693	9.86271477901929	1.86675293688263	5.28335302661393	1.26840629585273e-07	4.76491760498812e-07
ENSG00000004866	2004.58915162417	7.10024844601042	0.478273436642359	14.8455839317704	7.43049655244548e-50	8.89973232465952e-48
ENSG00000005022	54567.3114939478	5.12332998960524	0.393147012653135	13.0315882474362	8.09058171405777e-39	4.63165233854263e-37
ENSG00000005075	2751.86656970754	2.51443027856935	0.321437317284375	7.82245913390582	5.1801273811708e-15	4.21803236322143e-14
ENSG00000005100	2227.87428636219	1.71146822595441	0.343534485553001	4.98194009023402	6.29499261156801e-07	2.16164772720944e-06
ENSG00000005189	936.205906297493	6.42133333401666	0.512077296502359	12.5397735417608	4.52286157590178e-36	2.09265989846107e-34
ENSG00000005194	5073.43250036743	3.7543348293297	0.270281993750468	13.8904363447748	7.23929552007274e-44	5.71295433378451e-42
ENSG00000005249	517.6457001453	4.33360183782359	0.687961577392704	6.29919167033637	2.99201827915856e-10	1.51648273404651e-09
ENSG00000005381	15469.1590534346	13.5705174212103	1.4460483730828	9.38455287790929	6.31839476074114e-21	8.73915239307096e-20
ENSG00000005448	2791.15647764361	3.65699565672058	0.430188090072755	8.50092259900103	1.8808975743286e-17	1.91699446199526e-16
ENSG00000005801	4504.94824382301	2.1968417864352	0.297441748788641	7.38578829428633	1.51552772318668e-13	1.06553839255523e-12
ENSG00000005882	3124.44710139282	1.96356938580536	0.696985835486944	2.81722997201732	0.00484398276455741	0.00920918393874205
